Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_3_46,VSS,Metal1,28.0800,30.2400,0.000454
FILLER_3_4,VSS,Metal1,7.9200,30.2400,0.000478
FILLER_2_132,VSS,Metal1,70.0680,23.0560,0.000211
FILLER_2_67,VSS,Metal1,38.4000,22.6800,0.000210
FILLER_2_39,VSS,Metal1,24.9600,22.6800,0.000206
FILLER_2_30,VSS,Metal1,20.6400,22.6800,0.000206
FILLER_1_139,VSS,Metal1,72.7200,22.6800,0.000211
FILLER_1_132,VSS,Metal1,70.8060,22.2190,0.000211
FILLER_1_125,VSS,Metal1,67.4460,22.2190,0.000211
FILLER_1_118,VSS,Metal1,64.0860,22.2190,0.000211
FILLER_1_100,VSS,Metal1,55.4460,22.2190,0.000210
FILLER_1_93,VSS,Metal1,52.0860,22.2190,0.000210
FILLER_1_22,VSS,Metal1,16.5600,22.6800,0.000206
FILLER_1_18,VSS,Metal1,15.3480,22.3030,0.000206
FILLER_1_11,VSS,Metal1,12.7260,22.2190,0.000206
FILLER_1_4,VSS,Metal1,9.3660,22.2190,0.000206
FILLER_0_144,VSS,Metal1,75.8280,15.4960,0.000056
FILLER_0_137,VSS,Metal1,73.2060,15.5800,0.000056
FILLER_0_130,VSS,Metal1,69.8460,15.5800,0.000056
FILLER_0_123,VSS,Metal1,66.4860,15.5800,0.000056
FILLER_0_116,VSS,Metal1,63.1260,15.5800,0.000056
FILLER_0_109,VSS,Metal1,59.7660,15.5800,0.000056
FILLER_0_102,VSS,Metal1,56.4060,15.5800,0.000056
FILLER_0_95,VSS,Metal1,53.0460,15.5800,0.000056
FILLER_0_88,VSS,Metal1,49.6860,15.5800,0.000056
FILLER_0_75,VSS,Metal1,42.7080,15.4960,0.000056
FILLER_0_69,VSS,Metal1,39.1200,15.1200,0.000056
FILLER_0_59,VSS,Metal1,34.5600,15.1200,0.000056
FILLER_0_23,VSS,Metal1,17.0400,15.1200,0.000056
FILLER_0_21,VSS,Metal1,16.3200,15.1200,0.000056
FILLER_0_14,VSS,Metal1,14.1660,15.5800,0.000056
FILLER_0_7,VSS,Metal1,10.8060,15.5800,0.000056
FILLER_0_0,VSS,Metal1,7.4460,15.5800,0.000056
hold47,VSS,Metal1,53.4780,52.7120,0.000280
hold46,VSS,Metal1,53.5610,37.5920,0.000509
hold45,VSS,Metal1,57.7980,45.1520,0.000380
hold44,VSS,Metal1,33.8810,53.1270,0.000266
hold43,VSS,Metal1,45.3180,60.6870,0.000153
hold42,VSS,Metal1,57.4010,22.8870,0.000210
hold41,VSS,Metal1,45.8810,15.3270,0.000056
hold40,VSS,Metal1,40.1210,30.0320,0.000519
hold39,VSS,Metal1,48.2810,30.4470,0.000537
hold38,VSS,Metal1,59.3210,37.5920,0.000510
hold37,VSS,Metal1,66.0410,30.4470,0.000542
hold36,VSS,Metal1,28.1210,75.8070,0.000178
hold35,VSS,Metal1,35.3210,67.8320,0.000693
hold34,VSS,Metal1,51.1610,75.8070,0.000179
hold33,VSS,Metal1,61.7210,75.3920,0.000180
hold32,VSS,Metal1,24.7610,67.8320,0.000692
hold31,VSS,Metal1,17.4780,60.6870,0.000152
hold30,VSS,Metal1,21.7980,60.6870,0.000151
hold29,VSS,Metal1,17.5610,60.2720,0.000152
hold28,VSS,Metal1,52.6010,82.9520,0.000007
hold27,VSS,Metal1,62.2010,75.8070,0.000180
hold26,VSS,Metal1,53.0810,67.8320,0.000701
hold25,VSS,Metal1,35.8010,22.8870,0.000207
hold24,VSS,Metal1,30.5210,30.0320,0.000461
hold23,VSS,Metal1,60.2810,60.6870,0.000191
hold22,VSS,Metal1,72.2810,67.8320,0.000703
hold21,VSS,Metal1,26.2010,60.6870,0.000151
hold20,VSS,Metal1,39.1610,68.2470,0.000701
hold19,VSS,Metal1,44.4410,75.3920,0.000179
hold18,VSS,Metal1,13.1580,60.2720,0.000152
hold17,VSS,Metal1,60.6780,38.0070,0.000510
hold16,VSS,Metal1,70.3610,30.4470,0.000542
hold15,VSS,Metal1,27.1610,37.5920,0.000447
hold14,VSS,Metal1,22.3610,45.5670,0.000362
hold13,VSS,Metal1,16.9980,45.5670,0.000362
hold12,VSS,Metal1,61.7210,60.2720,0.000191
hold11,VSS,Metal1,74.2010,53.1270,0.000300
hold10,VSS,Metal1,64.6010,45.1520,0.000380
hold9,VSS,Metal1,74.6810,45.1520,0.000380
hold8,VSS,Metal1,23.3210,30.0320,0.000450
hold7,VSS,Metal1,17.9580,22.8870,0.000206
hold6,VSS,Metal1,23.8010,38.0070,0.000445
hold5,VSS,Metal1,16.5180,37.5920,0.000445
hold4,VSS,Metal1,21.7980,60.2720,0.000151
hold3,VSS,Metal1,73.2410,60.2720,0.000193
hold2,VSS,Metal1,65.0810,45.5670,0.000380
hold1,VSS,Metal1,74.2010,45.5670,0.000380
clkload2,VSS,Metal1,64.7650,75.3870,0.000181
clkload1,VSS,Metal1,23.0050,68.2520,0.000693
clkload0,VSS,Metal1,10.1150,37.5870,0.000446
clkbuf_2_3__f_clk,VSS,Metal1,64.7570,68.3420,0.000703
clkbuf_2_2__f_clk,VSS,Metal1,30.1970,67.7370,0.000692
clkbuf_2_1__f_clk,VSS,Metal1,59.5620,30.5420,0.000542
clkbuf_2_0__f_clk,VSS,Metal1,21.6420,37.4970,0.000445
clkbuf_0_clk,VSS,Metal1,43.7220,45.6620,0.000376
B\[11\]$_SDFFE_PP1P__40,VSS,Metal1,31.6450,52.7850,0.000263
output39,VSS,Metal1,75.8050,22.8920,0.000211
output38,VSS,Metal1,6.7550,30.0270,0.000478
output37,VSS,Metal1,75.8050,30.0270,0.000542
output36,VSS,Metal1,75.8050,75.3870,0.000181
output35,VSS,Metal1,34.5250,82.9470,0.000006
output34,VSS,Metal1,7.7150,45.1470,0.000362
output33,VSS,Metal1,71.9650,22.8920,0.000211
output32,VSS,Metal1,75.3250,67.8270,0.000703
output31,VSS,Metal1,6.7550,52.7070,0.000262
output30,VSS,Metal1,33.1550,15.3320,0.000056
output29,VSS,Metal1,60.9950,82.9470,0.000008
output28,VSS,Metal1,8.6750,60.6920,0.000152
output27,VSS,Metal1,73.8850,22.8920,0.000211
output26,VSS,Metal1,6.7550,60.6920,0.000152
output25,VSS,Metal1,8.6750,22.8920,0.000206
output24,VSS,Metal1,73.8850,75.3870,0.000181
output23,VSS,Metal1,63.8750,82.9470,0.000008
output22,VSS,Metal1,36.4450,82.9470,0.000007
output21,VSS,Metal1,6.7550,37.5870,0.000446
output20,VSS,Metal1,73.8850,22.4670,0.000211
output19,VSS,Metal1,75.8050,37.5870,0.000512
output18,VSS,Metal1,6.7550,45.5720,0.000362
